study_label,year,effect_measure,a_events,b_non_events,c_events,d_non_events
4S 1994,1994,RR,431,1790,622,1592
WOSCOPS 1995,1995,RR,174,2987,248,2911
CARE 1996,1996,RR,212,1871,274,1804
LIPID 1998,1998,RR,557,3995,715,3835
HPS 2002,2002,RR,898,9366,1212,9119
